,mean,2.5%,median,97.5%
Arsenal,0.1658797149100944,-0.26949998730831576,0.17139806690602025,0.5009350228477207
Brighton,-0.08838133920114542,-0.4394448055157757,-0.0953790624042348,0.35682635966360154
Chelsea,0.017751192353854185,-0.42170573453005183,0.026326615231884537,0.3889355546575356
Crystal Palace,0.16021437466759703,-0.049133537541106415,0.1513322549763204,0.39568944285291163
Everton,-0.0761861358416181,-0.5210171093584107,-0.024993261152625203,0.230094548452275
Southampton,-0.09361302567891222,-0.5329772970450488,-0.06785596498844662,0.2695672028661107
Watford,0.13320609124074081,-0.32008013682593506,0.1417740615952296,0.5376306257045019
West Brom,-0.16772937505074242,-0.5749357015475759,-0.1471985584807494,0.14235871059489386
Man United,0.1574005096395426,-0.22843446380687155,0.15023225339202645,0.5835086511182576
Newcastle,-0.15355404284275498,-0.5521029935992919,-0.15651396410820007,0.235986639194272
Bournemouth,-0.11213554585190832,-0.3705355088683333,-0.10583503176228826,0.11630155340403299
Burnley,-0.1397987841575367,-0.5707854168938694,-0.12747469905585712,0.29761393686249704
Leicester,0.10130753959936162,-0.18645183369448104,0.09265280977599374,0.4379577230338015
Liverpool,0.178749435113541,-0.20330270781738483,0.15436428847205683,0.5792386415913521
Stoke,-0.12206480112225675,-0.45942947760760433,-0.10613454067443157,0.25974106768361366
Swansea,-0.1779920516107283,-0.6731535817853281,-0.14613151695793958,0.3146186232179064
Huddersfield,-0.17887112242238196,-0.6387441244761186,-0.1613986086927683,0.31492271251723486
Tottenham,0.12311929763611318,-0.23711406114859024,0.11146589985741803,0.5936271498661898
Man City,0.30423933500088246,-0.06581878341701665,0.29461260165625025,0.7154626534912543
West Ham,-0.031541266381741526,-0.1341443674590519,-0.02919242716172956,0.07752916369311345
