,index,Team,points_lower,Pts,points_median,points_upper,goals_for_lower,goals_scored,goals_for_median,goals_for_upper,goals_against_lower,goals_lost,goals_against_median,goals_against_upper,relative_goals_upper,relative_goals_lower,relative_goals_against_upper,relative_goals_against_lower,relative_points_upper,relative_points_lower,x
0,16,Huddersfield,19.0,37.0,35,53.0,17.0,28,30,47.0,39.0,58,56,80.0,17.0,13.0,24.0,17.0,18.0,16.0,0.5
1,15,Swansea,20.0,33.0,37,53.02499999999998,16.0,28,31,47.02499999999998,37.0,56,54,75.0,16.024999999999977,15.0,21.0,17.0,16.024999999999977,17.0,1.5
2,7,West Brom,23.0,31.0,38,57.02499999999998,20.0,31,32,51.0,37.0,56,55,75.0,19.0,12.0,20.0,18.0,19.024999999999977,15.0,2.5
3,1,Brighton,23.0,40.0,40,59.0,20.0,34,34,53.0,36.0,54,54,77.0,19.0,14.0,23.0,18.0,19.0,17.0,3.5
4,14,Stoke,19.0,33.0,35,54.0,20.0,35,36,54.02499999999998,45.975,68,66,88.0,18.024999999999977,16.0,22.0,20.025,19.0,16.0,4.5
5,11,Burnley,31.0,54.0,50,68.0,21.0,36,37,54.0,25.0,39,39,58.0,17.0,16.0,19.0,14.0,18.0,19.0,5.5
6,5,Southampton,25.0,36.0,42,61.0,23.0,37,38,56.0,36.0,56,54,76.02499999999998,18.0,15.0,22.024999999999977,18.0,19.0,17.0,6.5
7,9,Newcastle,31.0,44.0,47,65.0,24.0,39,39,58.02499999999998,30.0,47,47,67.0,19.024999999999977,15.0,20.0,17.0,18.0,16.0,7.5
8,4,Everton,27.0,49.0,45,65.0,28.0,44,44,63.0,37.0,58,56,78.0,19.0,16.0,22.0,19.0,20.0,18.0,8.5
9,6,Watford,25.975,41.0,43,60.02499999999998,28.0,44,45,64.0,43.0,64,62,85.0,19.0,17.0,23.0,19.0,17.024999999999977,17.025,9.5
10,10,Bournemouth,27.975,44.0,45,63.0,28.0,45,44,64.0,39.0,61,58,81.02499999999998,20.0,16.0,23.024999999999977,19.0,18.0,17.025,10.5
11,3,Crystal Palace,30.0,44.0,48,68.0,30.0,45,46,65.0,37.0,55,54,76.0,19.0,16.0,22.0,17.0,20.0,18.0,11.5
12,19,West Ham,25.0,42.0,43,61.02499999999998,30.0,48,47,66.02499999999998,45.0,68,65,89.02499999999998,19.024999999999977,17.0,24.024999999999977,20.0,18.024999999999977,18.0,12.5
13,12,Leicester,34.0,47.0,52,71.0,36.0,56,55,77.0,38.0,60,58,81.0,22.0,19.0,23.0,20.0,19.0,18.0,13.5
14,2,Chelsea,47.975,70.0,66,84.0,41.975,62,60,83.0,24.0,38,39,57.0,23.0,18.025,18.0,15.0,18.0,18.025,14.5
15,8,Man United,57.0,81.0,76,92.0,45.0,68,66,91.0,17.0,28,30,46.0,25.0,21.0,16.0,13.0,16.0,19.0,15.5
16,0,Arsenal,47.0,63.0,66,84.0,49.0,74,72,97.0,32.0,51,50,70.0,25.0,23.0,20.0,18.0,18.0,19.0,16.5
17,17,Tottenham,55.0,77.0,74,90.02499999999998,49.0,74,71,95.0,23.0,36,37,53.0,24.0,22.0,16.0,14.0,16.024999999999977,19.0,17.5
18,13,Liverpool,59.0,75.0,77,94.0,58.0,84,80,107.0,24.0,38,38,57.0,27.0,22.0,19.0,14.0,17.0,18.0,18.5
19,18,Man City,75.0,100.0,91,104.0,73.0,106,101,129.02499999999998,17.0,27,30,45.0,28.024999999999977,28.0,15.0,13.0,13.0,16.0,19.5
