,Team,Points,Goals Scored,Goals Conceded,Predicted Points,Prediced Goals Scored,Predicted Goals Conceded
0,Huddersfield,37,28,58,35,30,56
1,Swansea,33,28,56,37,31,54
2,West Brom,31,31,56,38,32,55
3,Brighton,40,34,54,40,34,54
4,Stoke,33,35,68,35,36,66
5,Burnley,54,36,39,50,37,39
6,Southampton,36,37,56,42,38,54
7,Newcastle,44,39,47,47,39,47
8,Everton,49,44,58,45,44,56
9,Watford,41,44,64,43,45,62
10,Bournemouth,44,45,61,45,44,58
11,Crystal Palace,44,45,55,48,46,54
12,West Ham,42,48,68,43,47,65
13,Leicester,47,56,60,52,55,58
14,Chelsea,70,62,38,66,60,39
15,Man United,81,68,28,76,66,30
16,Arsenal,63,74,51,66,72,50
17,Tottenham,77,74,36,74,71,37
18,Liverpool,75,84,38,77,80,38
19,Man City,100,106,27,91,101,30
