Home \ Away[1]	Arsenal	Bournemouth	Brighton	Burnley	Chelsea	Crystal Palace	Everton	Huddersfield	Leicester	Liverpool	Man City	Man United	Newcastle	Southampton	Stoke	Swansea	Tottenham	Watford	West Brom	West Ham
Arsenal	 	3-0	2-0	5-0	2-2	4-1	5-1	5-0	4-3	3-3	0-3	1-3	1-0	3-2	3-0	2-1	2-0	3-0	2-0	4-1
Bournemouth	2-1	 	2-1	1-2	0-1	2-2	2-1	4-0	0-0	0-4	1-2	0-2	2-2	1-1	2-1	1-0	1-4	0-2	2-1	3-3
Brighton	2-1	2-2	 	0-0	0-4	0-0	1-1	1-1	0-2	1-5	0-2	1-0	1-0	1-1	2-2	4-1	1-1	1-0	3-1	3-1
Burnley	0-1	1-2	0-0	 	1-2	1-0	2-1	0-0	2-1	1-2	1-1	0-1	1-0	1-1	1-0	2-0	0-3	1-0	0-1	1-1
Chelsea	0-0	0-3	2-0	2-3	 	2-1	2-0	1-1	0-0	1-0	0-1	1-0	3-1	1-0	5-0	1-0	1-3	4-2	3-0	1-1
Crystal Palace	2-3	2-2	3-2	1-0	2-1	 	2-2	0-3	5-0	1-2	0-0	2-3	1-1	0-1	2-1	0-2	0-1	2-1	2-0	2-2
Everton	2-5	2-1	2-0	0-1	0-0	3-1	 	2-0	2-1	0-0	1-3	0-2	1-0	1-1	1-0	3-1	0-3	3-2	1-1	4-0
Huddersfield	0-1	4-1	2-0	0-0	1-3	0-2	0-2	 	1-1	0-3	1-2	2-1	1-0	0-0	1-1	0-0	0-4	1-0	1-0	1-4
Leicester	3-1	1-1	2-0	1-0	1-2	0-3	2-0	3-0	 	2-3	0-2	2-2	1-2	0-0	1-1	1-1	2-1	2-0	1-1	0-2
Liverpool	4-0	3-0	4-0	1-1	1-1	1-0	1-1	3-0	2-1	 	4-3	0-0	2-0	3-0	0-0	5-0	2-2	5-0	0-0	4-1
Man City	3-1	4-0	3-1	3-0	1-0	5-0	1-1	0-0	5-1	5-0	 	2-3	3-1	2-1	7-2	5-0	4-1	3-1	3-0	2-1
Man United	2-1	1-0	1-0	2-2	2-1	4-0	4-0	2-0	2-0	2-1	1-2	 	4-1	0-0	3-0	2-0	1-0	1-0	0-1	4-0
Newcastle	2-1	0-1	0-0	1-1	3-0	1-0	0-1	1-0	2-3	1-1	0-1	1-0	 	3-0	2-1	1-1	0-2	0-3	0-1	3-0
Southampton	1-1	2-1	1-1	0-1	2-3	1-2	4-1	1-1	1-4	0-2	0-1	0-1	2-2	 	0-0	0-0	1-1	0-2	1-0	3-2
Stoke	1-0	1-2	1-1	1-1	0-4	1-2	1-2	2-0	2-2	0-3	0-2	2-2	0-1	2-1	 	2-1	1-2	0-0	3-1	0-3
Swansea	3-1	0-0	0-1	1-0	0-1	1-1	1-1	2-0	1-2	1-0	0-4	0-4	0-1	0-1	1-2	 	0-2	1-2	1-0	4-1
Tottenham	1-0	1-0	2-0	1-1	1-2	1-0	4-0	2-0	5-4	4-1	1-3	2-0	1-0	5-2	5-1	0-0	 	2-0	1-1	1-1
Watford	2-1	2-2	0-0	1-2	4-1	0-0	1-0	1-4	2-1	3-3	0-6	2-4	2-1	2-2	0-1	1-2	1-1	 	1-0	2-0
West Brom	1-1	1-0	2-0	1-2	0-4	0-0	0-0	1-2	1-4	2-2	2-3	1-2	2-2	2-3	1-1	1-1	1-0	2-2	 	0-0
West Ham	0-0	1-1	0-3	0-3	1-0	1-1	3-1	2-0	1-1	1-4	1-4	0-0	2-3	3-0	1-1	1-0	2-3	2-0	2-1	 
