team,W,D,L,GF,GA,Pts
Arsenal,19.0,6.0,13.0,74.0,51.0,63.0
Bournemouth,11.0,11.0,16.0,45.0,61.0,44.0
Brighton,9.0,13.0,16.0,34.0,54.0,40.0
Burnley,14.0,12.0,12.0,36.0,39.0,54.0
Chelsea,21.0,7.0,10.0,62.0,38.0,70.0
Crystal Palace,11.0,11.0,16.0,45.0,55.0,44.0
Everton,13.0,10.0,15.0,44.0,58.0,49.0
Huddersfield,9.0,10.0,19.0,28.0,58.0,37.0
Leicester,12.0,11.0,15.0,56.0,60.0,47.0
Liverpool,21.0,12.0,5.0,84.0,38.0,75.0
Man City,32.0,4.0,2.0,106.0,27.0,100.0
Man United,25.0,6.0,7.0,68.0,28.0,81.0
Newcastle,12.0,8.0,18.0,39.0,47.0,44.0
Southampton,7.0,15.0,16.0,37.0,56.0,36.0
Stoke,7.0,12.0,19.0,35.0,68.0,33.0
Swansea,8.0,9.0,21.0,28.0,56.0,33.0
Tottenham,23.0,8.0,7.0,74.0,36.0,77.0
Watford,11.0,8.0,19.0,44.0,64.0,41.0
West Brom,6.0,13.0,19.0,31.0,56.0,31.0
West Ham,10.0,12.0,16.0,48.0,68.0,42.0
